"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"vary_distance_btw_farmers"
"05/12/2017 15:12:24:357 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"56","32","16","2.5","100","4","true","0.4","0.3","50","100","9987.699999999984","303.85","6","0.005038747971903937"
"57","32","16","2.5","100","4","true","0.4","0.3","50","100","9652.999999999973","305.1181818181818","8","0.005218879819635496"
"58","32","16","2.5","100","4","true","0.4","0.3","50","100","9881.29999999998","299.72727272727275","7","0.0050996991177520426"
"59","32","16","2.5","100","4","true","0.4","0.3","50","100","9731.299999999983","296.9409090909091","7","0.005112631266807779"
"60","32","16","2.5","100","4","true","0.4","0.3","50","100","9699.49999999992","305.73636363636365","3","0.005181776727604355"
"61","32","18","2.5","100","4","true","0.4","0.3","50","100","9946.299999999967","302.58181818181816","4","0.005043678253676831"
"62","32","18","2.5","100","4","true","0.4","0.3","50","100","9806.999999999958","302.65909090909093","3","0.0051283103243143354"
"63","32","18","2.5","100","4","true","0.4","0.3","50","100","9922.999999999982","303.9681818181818","4","0.005063444965416659"
"65","32","18","2.5","100","4","true","0.4","0.3","50","100","9851.999999999989","307.29545454545456","0","0.00507820434694292"
"64","32","18","2.5","100","4","true","0.4","0.3","50","100","9834.199999999983","301.3590909090909","5","0.005105010056869782"
"66","32","18","2.5","100","4","true","0.4","0.3","50","100","9816.999999999958","300.32272727272726","4","0.005100843679544583"
"67","32","18","2.5","100","4","true","0.4","0.3","50","100","9780.399999999958","310.7090909090909","1","0.005163795596315099"
"70","32","18","2.5","100","4","true","0.4","0.3","50","100","9931.199999999955","306","4","0.005062932247840663"
"68","32","18","2.5","100","4","true","0.4","0.3","50","100","9629.900000000041","298.95454545454544","2","0.00519480519480517"
"69","32","18","2.5","100","4","true","0.4","0.3","50","100","9774.399999999974","301.75","4","0.0051221636019054256"
"71","32","20","2.5","100","4","true","0.4","0.3","50","100","9876.399999999987","304.4681818181818","5","0.005063701363148399"
"72","32","20","2.5","100","4","true","0.4","0.3","50","100","9844.599999999979","299.24545454545455","5","0.005087712157596959"
"73","32","20","2.5","100","4","true","0.4","0.3","50","100","9909.499999999967","307.1181818181818","9","0.005068012730847988"
"74","32","20","2.5","100","4","true","0.4","0.3","50","100","9993.799999999974","308.2772727272727","3","0.005000850144524565"
"75","32","20","2.5","100","4","true","0.4","0.3","50","100","9902.999999999945","304.3590909090909","0","0.0050608311909147875"
"76","32","20","2.5","100","4","true","0.4","0.3","50","100","9727.000000000036","298.7590909090909","6","0.005164649010453229"
"77","32","20","2.5","100","4","true","0.4","0.3","50","100","10018.500000000015","301.8","6","0.004956629491945469"
"78","32","20","2.5","100","4","true","0.4","0.3","50","100","9822.399999999965","303.3636363636364","5","0.00510626129760311"
"79","32","20","2.5","100","4","true","0.4","0.3","50","100","9759.39999999996","305.6045454545455","3","0.005131257568604905"
"80","32","20","2.5","100","4","true","0.4","0.3","50","100","9952.599999999984","300.2818181818182","5","0.005040068544932207"
"81","32","22","2.5","100","4","true","0.4","0.3","50","100","9919.100000000008","300.2409090909091","7","0.005022551255135559"
"82","32","22","2.5","100","4","true","0.4","0.3","50","100","9859.800000000014","308.0090909090909","5","0.005089731974714202"
"83","32","22","2.5","100","4","true","0.4","0.3","50","100","9753.999999999967","303.5772727272727","6","0.005111585920647738"
